us_state,county,year_end,days_with_aqi,good_days,moderate_days,unhealthy_sensitive_days,unhealthy_days,very_unhealthy_days,hazardous_days,poverty_estimate,poverty_percentage
AL,Baldwin,12/31/2019,271,237,34,0,0,0,0,"22,360",10.1
AL,Clay,12/31/2019,107,97,10,0,0,0,0,"2,156",16.6
AL,Colbert,12/31/2019,263,252,11,0,0,0,0,"7,998",14.6
AL,DeKalb,12/31/2019,361,324,37,0,0,0,0,"12,848",18.2
AL,Elmore,12/31/2019,228,208,20,0,0,0,0,"8,753",11.4
AL,Etowah,12/31/2019,279,232,47,0,0,0,0,"18,801",18.8
AL,Houston,12/31/2019,280,256,24,0,0,0,0,"20,207",19.4
AL,Jefferson,12/31/2019,365,157,195,13,0,0,0,"104,288",16.2
AL,Lawrence,12/31/2019,112,111,1,0,0,0,0,"5,773",17.7
AL,Madison,12/31/2019,361,255,106,0,0,0,0,"41,789",11.5
AL,Mobile,12/31/2019,364,258,106,0,0,0,0,"71,784",17.7
AL,Montgomery,12/31/2019,365,171,193,1,0,0,0,"34,268",15.8
AL,Morgan,12/31/2019,365,306,59,0,0,0,0,"16,146",13.7
AL,Russell,12/31/2019,363,268,95,0,0,0,0,"10,823",18.9
AL,Shelby,12/31/2019,359,308,44,7,0,0,0,"13,428",6.2
AL,Sumter,12/31/2019,361,335,26,0,0,0,0,"4,195",36.4
AL,Tuscaloosa,12/31/2019,264,240,24,0,0,0,0,"32,226",16.2
AK,Aleutians East ,12/31/2019,121,121,0,0,0,0,0,,
AK,Anchorage ,12/31/2019,365,289,67,5,4,0,0,,
AK,Bethel ,12/31/2019,317,304,11,1,1,0,0,,
AK,Denali ,12/31/2019,361,355,4,1,1,0,0,,
AK,Fairbanks North Star ,12/31/2019,365,230,96,18,16,1,4,,
AK,Juneau ,12/31/2019,362,308,51,3,0,0,0,,
AK,Kenai Peninsula ,12/31/2019,118,115,2,1,0,0,0,,
AK,Matanuska-Susitna ,12/31/2019,361,295,63,3,0,0,0,,
AK,North Slope ,12/31/2019,110,109,1,0,0,0,0,,
AZ,Apache,12/31/2019,359,358,1,0,0,0,0,"23,680",33.4
AZ,Cochise,12/31/2019,365,266,99,0,0,0,0,"20,172",16.6
AZ,Coconino,12/31/2019,365,289,76,0,0,0,0,"20,817",15.9
