data_state,county,data_year,days_with_aqi,good_days,moderate_days,unhealthy_sensitive_days,unhealthy_days,very_unhealthy_days,hazardous_days,days_co,days_no2,days_ozone,days_so2
AL,Baldwin,12/31/2016,279,247,32,0,0,0,0,0,0,221,0
AL,Clay,12/31/2016,116,109,7,0,0,0,0,0,0,0,0
AL,Colbert,12/31/2016,282,258,23,1,0,0,0,0,0,219,0
AL,DeKalb,12/31/2016,348,304,43,1,0,0,0,0,0,321,0
AL,Elmore,12/31/2016,117,107,10,0,0,0,0,0,0,117,0
AL,Etowah,12/31/2016,352,162,184,3,3,0,0,0,0,104,0
AL,Houston,12/31/2016,280,265,15,0,0,0,0,0,0,221,0
AL,Jefferson,12/31/2016,366,191,166,8,1,0,0,0,16,147,1
AL,Lawrence,12/31/2016,118,116,1,1,0,0,0,0,0,0,0
AL,Madison,12/31/2016,333,280,52,1,0,0,0,0,0,235,0
AL,Mobile,12/31/2016,366,277,87,2,0,0,0,0,0,138,9
AL,Montgomery,12/31/2016,363,285,76,1,1,0,0,0,0,175,0
AL,Morgan,12/31/2016,365,304,59,2,0,0,0,0,0,214,0
AL,Russell,12/31/2016,257,192,65,0,0,0,0,0,0,176,0
AL,Shelby,12/31/2016,244,205,35,4,0,0,0,0,0,244,0
AL,Sumter,12/31/2016,336,315,21,0,0,0,0,0,0,185,0
AL,Talladega,12/31/2016,117,99,18,0,0,0,0,0,0,0,0
AL,Tuscaloosa,12/31/2016,365,224,141,0,0,0,0,0,0,93,0
AK,Aleutians East ,12/31/2016,119,118,1,0,0,0,0,0,0,0,0
AK,Anchorage ,12/31/2016,361,288,73,0,0,0,0,0,0,0,0
AK,Denali ,12/31/2016,358,357,1,0,0,0,0,0,0,354,0
AK,Fairbanks North Star ,12/31/2016,366,218,92,33,23,0,0,0,4,136,2
AK,Juneau ,12/31/2016,305,255,50,0,0,0,0,0,0,0,0
AK,Kenai Peninsula ,12/31/2016,122,122,0,0,0,0,0,0,0,0,0
AK,Matanuska-Susitna ,12/31/2016,366,299,63,4,0,0,0,0,0,250,0
AZ,Apache,12/31/2016,366,364,2,0,0,0,0,0,0,0,0
AZ,Cochise,12/31/2016,366,281,83,2,0,0,0,0,0,323,0
AZ,Coconino,12/31/2016,366,301,65,0,0,0,0,0,0,363,0
AZ,Gila,12/31/2016,366,84,136,119,27,0,0,0,0,82,263
AZ,La Paz,12/31/2016,365,294,70,1,0,0,0,0,1,291,3
AZ,Maricopa,12/31/2016,366,59,270,36,0,1,0,0,33,186,0
AZ,Mohave,12/31/2016,357,336,21,0,0,0,0,0,0,0,0
AZ,Navajo,12/31/2016,366,301,65,0,0,0,0,0,0,352,0
AZ,Pima,12/31/2016,366,203,159,4,0,0,0,0,0,246,0
AZ,Pinal,12/31/2016,366,76,237,46,5,1,1,0,0,109,0
AZ,Santa Cruz,12/31/2016,363,260,102,0,1,0,0,0,0,0,0
AZ,Yavapai,12/31/2016,349,300,49,0,0,0,0,0,0,343,0
AZ,Yuma,12/31/2016,366,228,124,12,1,0,1,0,0,213,0
AR,Arkansas,12/31/2016,119,100,19,0,0,0,0,0,0,0,0
AR,Ashley,12/31/2016,118,102,16,0,0,0,0,0,0,0,0
AR,Clark,12/31/2016,355,351,4,0,0,0,0,0,0,355,0
AR,Crittenden,12/31/2016,366,314,49,2,1,0,0,0,20,308,0
AR,Garland,12/31/2016,119,97,22,0,0,0,0,0,0,0,0
AR,Jackson,12/31/2016,115,94,21,0,0,0,0,0,0,0,0
AR,Newton,12/31/2016,366,350,16,0,0,0,0,0,0,343,0
AR,Polk,12/31/2016,366,318,48,0,0,0,0,0,0,323,0
AR,Pulaski,12/31/2016,366,257,109,0,0,0,0,0,6,166,0
AR,Union,12/31/2016,366,341,24,0,1,0,0,0,0,0,246
AR,Washington,12/31/2016,366,338,28,0,0,0,0,0,0,326,0
CA,Alameda,12/31/2016,366,239,112,13,2,0,0,0,15,214,0
CA,Alpine,12/31/2016,24,22,2,0,0,0,0,0,0,0,0
CA,Amador,12/31/2016,366,304,57,5,0,0,0,0,0,366,0
CA,Butte,12/31/2016,366,169,181,16,0,0,0,0,0,199,0
CA,Calaveras,12/31/2016,366,232,112,22,0,0,0,0,0,280,0
CA,Colusa,12/31/2016,366,272,94,0,0,0,0,0,0,248,0
CA,Contra Costa,12/31/2016,366,287,76,3,0,0,0,0,2,223,0
CA,Del Norte,12/31/2016,177,172,5,0,0,0,0,0,0,0,0
CA,El Dorado,12/31/2016,366,222,101,31,12,0,0,0,0,365,0
CA,Fresno,12/31/2016,366,92,169,80,25,0,0,0,1,217,0
CA,Glenn,12/31/2016,362,259,103,0,0,0,0,0,0,210,0
CA,Humboldt,12/31/2016,366,326,40,0,0,0,0,0,1,229,0
CA,Imperial,12/31/2016,366,105,216,39,3,1,2,0,2,144,0
CA,Inyo,12/31/2016,366,244,99,15,4,1,3,0,0,313,0
CA,Kern,12/31/2016,366,70,180,102,14,0,0,0,0,231,0
CA,Kings,12/31/2016,366,85,207,71,3,0,0,0,0,184,0
CA,Lake,12/31/2016,365,358,7,0,0,0,0,0,0,363,0
CA,Los Angeles,12/31/2016,366,32,230,81,19,4,0,0,33,174,0
CA,Madera,12/31/2016,366,123,193,47,3,0,0,0,0,217,0
CA,Marin,12/31/2016,366,339,27,0,0,0,0,0,14,221,0
CA,Mariposa,12/31/2016,366,219,127,19,1,0,0,0,0,270,0
CA,Mendocino,12/31/2016,364,334,30,0,0,0,0,0,0,193,0
CA,Merced,12/31/2016,366,158,173,33,2,0,0,0,0,225,0
CA,Mono,12/31/2016,366,314,19,3,6,0,24,0,0,0,0
CA,Monterey,12/31/2016,366,325,30,3,8,0,0,0,0,262,0
CA,Napa,12/31/2016,366,296,70,0,0,0,0,0,2,166,0
CA,Nevada,12/31/2016,366,235,86,40,5,0,0,0,0,359,0
CA,Orange,12/31/2016,366,150,201,13,2,0,0,0,30,173,0
CA,Placer,12/31/2016,366,205,126,30,5,0,0,0,0,290,0
CA,Plumas,12/31/2016,355,250,94,10,1,0,0,0,0,0,0
CA,Riverside,12/31/2016,366,44,193,86,37,4,2,0,0,210,0
CA,Sacramento,12/31/2016,366,187,138,34,7,0,0,0,5,221,0
CA,San Benito,12/31/2016,366,305,56,5,0,0,0,0,0,352,0
CA,San Bernardino,12/31/2016,366,28,200,78,48,12,0,0,37,204,0
CA,San Diego,12/31/2016,366,69,255,40,2,0,0,0,4,224,0
CA,San Francisco,12/31/2016,365,310,55,0,0,0,0,0,45,154,0
CA,San Joaquin,12/31/2016,366,138,202,25,1,0,0,0,2,144,0
CA,San Luis Obispo,12/31/2016,366,177,180,8,1,0,0,0,0,249,0
CA,San Mateo,12/31/2016,365,302,63,0,0,0,0,0,26,119,0
CA,Santa Barbara,12/31/2016,366,261,93,9,2,0,1,0,0,259,0
CA,Santa Clara,12/31/2016,366,272,93,1,0,0,0,0,14,191,0
CA,Santa Cruz,12/31/2016,366,347,19,0,0,0,0,0,0,255,0
CA,Shasta,12/31/2016,366,298,54,14,0,0,0,0,0,363,0
CA,Siskiyou,12/31/2016,362,356,6,0,0,0,0,0,0,342,0
CA,Solano,12/31/2016,366,278,86,2,0,0,0,0,3,208,0
CA,Sonoma,12/31/2016,366,348,18,0,0,0,0,0,0,298,0
CA,Stanislaus,12/31/2016,366,147,176,40,3,0,0,0,1,202,0
CA,Sutter,12/31/2016,366,166,168,32,0,0,0,0,0,204,0
CA,Tehama,12/31/2016,366,226,98,37,5,0,0,0,0,325,0
CA,Trinity,12/31/2016,167,116,51,0,0,0,0,0,0,0,0
CA,Tulare,12/31/2016,366,80,162,102,22,0,0,0,0,222,0
CA,Tuolumne,12/31/2016,354,223,86,38,7,0,0,0,0,354,0
CA,Ventura,12/31/2016,366,173,184,9,0,0,0,0,0,232,0
CA,Yolo,12/31/2016,366,293,69,4,0,0,0,0,1,281,0
CO,Adams,12/31/2016,366,263,102,1,0,0,0,1,91,181,2
CO,Alamosa,12/31/2016,360,354,4,1,0,1,0,0,0,0,0
CO,Arapahoe,12/31/2016,366,267,93,6,0,0,0,0,0,360,0
CO,Archuleta,12/31/2016,347,343,4,0,0,0,0,0,0,0,0
CO,Boulder,12/31/2016,204,190,14,0,0,0,0,0,0,108,0
CO,Chaffee,12/31/2016,151,97,51,3,0,0,0,0,0,151,0
CO,Clear Creek,12/31/2016,311,210,94,6,1,0,0,0,0,311,0
CO,Delta,12/31/2016,119,117,2,0,0,0,0,0,0,0,0
CO,Denver,12/31/2016,366,165,197,4,0,0,0,0,183,112,1
CO,Douglas,12/31/2016,362,253,93,15,1,0,0,0,0,353,0
CO,El Paso,12/31/2016,366,263,101,2,0,0,0,0,0,328,16
CO,Fremont,12/31/2016,52,52,0,0,0,0,0,0,0,0,0
CO,Garfield,12/31/2016,366,264,101,1,0,0,0,0,0,366,0
CO,Grand,12/31/2016,152,131,21,0,0,0,0,0,0,152,0
CO,Gunnison,12/31/2016,366,316,50,0,0,0,0,0,0,344,0
CO,Jackson,12/31/2016,115,115,0,0,0,0,0,0,0,0,0
CO,Jefferson,12/31/2016,366,245,101,17,3,0,0,0,0,366,0
CO,La Plata,12/31/2016,366,251,107,8,0,0,0,0,1,359,0
CO,Larimer,12/31/2016,366,189,169,7,1,0,0,0,0,317,0
CO,Mesa,12/31/2016,366,260,105,1,0,0,0,0,0,299,0
CO,Moffat,12/31/2016,345,316,29,0,0,0,0,0,0,345,0
CO,Montezuma,12/31/2016,366,286,80,0,0,0,0,0,0,366,0
CO,Montrose,12/31/2016,253,236,17,0,0,0,0,0,0,253,0
CO,Park,12/31/2016,366,270,93,3,0,0,0,0,0,364,0
CO,Pitkin,12/31/2016,122,122,0,0,0,0,0,0,0,0,0
CO,Prowers,12/31/2016,357,350,6,1,0,0,0,0,0,0,0
CO,Pueblo,12/31/2016,128,126,2,0,0,0,0,0,0,0,0
CO,Rio Blanco,12/31/2016,366,327,39,0,0,0,0,0,0,342,0
CO,Routt,12/31/2016,352,343,9,0,0,0,0,0,0,0,0
CO,San Juan,12/31/2016,121,121,0,0,0,0,0,0,0,0,0
CO,San Miguel,12/31/2016,245,189,55,1,0,0,0,0,0,187,0
CO,Weld,12/31/2016,366,246,117,3,0,0,0,0,0,286,0
CT,Fairfield,12/31/2016,366,223,120,16,7,0,0,0,0,164,0
CT,Hartford,12/31/2016,366,268,91,6,1,0,0,0,65,158,0
CT,Litchfield,12/31/2016,366,308,50,7,1,0,0,0,0,335,0
CT,Middlesex,12/31/2016,174,125,36,11,2,0,0,0,0,174,0
CT,New Haven,12/31/2016,366,256,96,11,3,0,0,0,27,217,0
CT,New London,12/31/2016,357,306,41,9,1,0,0,0,0,178,0
CT,Tolland,12/31/2016,176,144,27,5,0,0,0,0,0,176,0
CT,Windham,12/31/2016,358,331,23,3,1,0,0,0,0,358,0
DE,Kent,12/31/2016,364,300,62,2,0,0,0,0,0,294,0
DE,New Castle,12/31/2016,366,238,118,9,1,0,0,0,14,217,1
DE,Sussex,12/31/2016,366,290,73,3,0,0,0,0,0,303,0
DC,District of Columbia,12/31/2016,366,211,148,7,0,0,0,0,31,164,0
FL,Alachua,12/31/2016,360,321,38,1,0,0,0,0,0,227,0
FL,Baker,12/31/2016,358,334,24,0,0,0,0,0,0,358,0
FL,Bay,12/31/2016,366,328,38,0,0,0,0,0,0,264,0
