data_state,county,data_year,days_with_aqi,good_days,moderate_days,unhealthy_sensitive_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,ninetieth_percentile_aqi,median_aqi,days_co,days_no2,days_ozone,days_so2,days_pm2,days_pm10
Alabama,Baldwin,12/31/2020,168,159,9,0,0,0,0,74,48,37,0,0,130,0,38,0
Alabama,Clay,12/31/2020,58,54,4,0,0,0,0,86,49,24,0,0,0,0,58,0
Alabama,DeKalb,12/31/2020,242,234,8,0,0,0,0,90,46,37,0,0,230,0,12,0
Alabama,Elmore,12/31/2020,149,149,0,0,0,0,0,47,43,33,0,0,149,0,0,0
Alabama,Etowah,12/31/2020,169,161,8,0,0,0,0,92,46,35,0,0,137,0,32,0
Alabama,Jefferson,12/31/2020,245,149,93,3,0,0,0,129,67,46,1,2,97,0,145,0
Alabama,Lawrence,12/31/2020,20,20,0,0,0,0,0,26,25,13,0,0,0,0,20,0
Alabama,Madison,12/31/2020,182,158,24,0,0,0,0,88,54,40,0,0,79,0,103,0
Alabama,Mobile,12/31/2020,203,184,19,0,0,0,0,68,50,35,0,0,101,3,99,0
Alabama,Montgomery,12/31/2020,209,103,104,2,0,0,0,116,67,51,0,0,31,0,178,0
Alabama,Morgan,12/31/2020,202,181,21,0,0,0,0,71,51,34,0,0,111,0,91,0
Alabama,Russell,12/31/2020,212,179,33,0,0,0,0,99,56,36,0,0,70,0,142,0
Alabama,Shelby,12/31/2020,211,200,11,0,0,0,0,71,47,31,0,0,147,64,0,0
Alabama,Sumter,12/31/2020,213,209,4,0,0,0,0,70,44,30,0,0,126,8,79,0
Alabama,Tuscaloosa,12/31/2020,165,159,6,0,0,0,0,97,45,33,0,0,133,0,32,0
Alaska,Aleutians East ,12/31/2020,20,20,0,0,0,0,0,31,28,8,0,0,0,0,20,0
Alaska,Anchorage ,12/31/2020,183,163,20,0,0,0,0,91,51,24,4,0,0,0,101,78
Alaska,Bethel ,12/31/2020,167,166,1,0,0,0,0,56,21,6,0,0,0,0,24,143
Alaska,Denali ,12/31/2020,235,234,1,0,0,0,0,54,43,35,0,0,235,0,0,0
Alaska,Fairbanks North Star ,12/31/2020,183,132,41,3,7,0,0,167,89,35,1,0,81,1,97,3
Alaska,Juneau ,12/31/2020,177,174,3,0,0,0,0,66,35,13,0,0,0,0,161,16
Alaska,Kenai Peninsula ,12/31/2020,20,20,0,0,0,0,0,40,13,4,0,0,0,0,20,0
Alaska,Matanuska-Susitna ,12/31/2020,178,162,15,1,0,0,0,103,49,16,0,0,0,0,137,41
Alaska,North Slope ,12/31/2020,15,15,0,0,0,0,0,36,13,6,0,0,0,0,15,0
Arizona,Apache,12/31/2020,270,268,2,0,0,0,0,57,25,14,0,0,0,0,6,264
Arizona,Cochise,12/31/2020,274,210,62,2,0,0,0,108,64,45,0,0,231,0,0,43
Arizona,Coconino,12/31/2020,274,227,47,0,0,0,0,93,58,45,0,0,274,0,0,0
Arizona,Gila,12/31/2020,274,160,101,10,3,0,0,174,81,49,0,0,230,32,0,12
Arizona,La Paz,12/31/2020,274,205,67,2,0,0,0,125,61,46,0,0,269,0,0,5
Arizona,Maricopa,12/31/2020,275,75,168,29,3,0,0,199,101,64,1,2,194,0,47,31
Arizona,Mohave,12/31/2020,267,262,4,1,0,0,0,116,34,19,0,0,0,0,3,264
Arizona,Navajo,12/31/2020,272,229,42,1,0,0,0,136,58,44,0,0,243,0,0,29
Arizona,Pima,12/31/2020,275,131,133,11,0,0,0,126,80,51,1,0,192,0,11,71
Arizona,Pinal,12/31/2020,273,107,137,29,0,0,0,150,101,59,0,0,195,0,13,65
Arizona,Santa Cruz,12/31/2020,271,213,56,1,1,0,0,165,60,30,0,0,0,0,146,125
Arizona,Yavapai,12/31/2020,271,205,65,1,0,0,0,119,64,46,0,0,271,0,0,0
Arizona,Yuma,12/31/2020,274,206,68,0,0,0,0,99,67,44,0,0,198,0,45,31
Arkansas,Arkansas,12/31/2020,90,82,8,0,0,0,0,82,47,27,0,0,0,0,90,0
Arkansas,Ashley,12/31/2020,92,85,7,0,0,0,0,89,48,28,0,0,0,0,92,0
Arkansas,Clark,12/31/2020,221,220,1,0,0,0,0,67,41,31,0,0,221,0,0,0
Arkansas,Crittenden,12/31/2020,274,228,43,3,0,0,0,115,57,40,0,3,175,0,96,0
Arkansas,Garland,12/31/2020,91,80,11,0,0,0,0,83,52,28,0,0,0,0,91,0
Arkansas,Jackson,12/31/2020,92,83,9,0,0,0,0,72,45,26,0,0,0,0,92,0
Arkansas,Newton,12/31/2020,271,266,5,0,0,0,0,84,45,36,0,0,271,0,0,0
Arkansas,Polk,12/31/2020,267,248,19,0,0,0,0,84,47,37,0,0,242,0,25,0
Arkansas,Pulaski,12/31/2020,275,207,66,2,0,0,0,132,59,42,1,4,138,0,132,0
Arkansas,Union,12/31/2020,91,79,12,0,0,0,0,89,52,33,0,0,0,0,91,0
Arkansas,Washington,12/31/2020,274,236,37,1,0,0,0,150,54,40,0,0,194,0,80,0
California,Alameda,12/31/2020,215,153,55,3,4,0,0,174,63,41,2,8,110,0,95,0
California,Amador,12/31/2020,209,201,8,0,0,0,0,77,48,37,0,0,209,0,0,0
California,Butte,12/31/2020,214,146,68,0,0,0,0,93,67,43,1,0,166,0,47,0
California,Calaveras,12/31/2020,212,178,34,0,0,0,0,80,54,41,0,0,165,0,47,0
California,Colusa,12/31/2020,251,205,25,6,15,0,0,184,78,36,0,0,169,0,75,7
California,Contra Costa,12/31/2020,215,162,47,2,4,0,0,164,58,40,2,2,121,0,90,0
California,Del Norte,12/31/2020,170,146,18,3,2,1,0,220,54,30,0,0,0,0,170,0
California,El Dorado,12/31/2020,213,167,45,1,0,0,0,101,67,41,0,0,209,0,2,2
California,Fresno,12/31/2020,274,87,135,36,16,0,0,198,122,64,0,1,175,0,91,7
California,Glenn,12/31/2020,213,185,28,0,0,0,0,82,53,40,0,0,163,0,47,3
California,Humboldt,12/31/2020,273,266,7,0,0,0,0,64,35,27,0,0,223,1,35,14
California,Imperial,12/31/2020,197,130,65,2,0,0,0,124,71,42,0,0,36,0,134,27
California,Inyo,12/31/2020,274,163,94,14,1,0,2,458,89,46,0,0,222,0,1,51
California,Kern,12/31/2020,214,89,116,8,1,0,0,197,90,55,1,0,140,0,67,6
California,Kings,12/31/2020,305,93,169,36,6,0,1,543,109,64,0,0,146,0,90,69
California,Lake,12/31/2020,172,172,0,0,0,0,0,48,40,30,0,0,165,0,5,2
California,Los Angeles,12/31/2020,183,58,87,26,10,2,0,206,140,62,1,17,105,0,58,2
California,Madera,12/31/2020,212,122,87,3,0,0,0,143,71,48,0,0,153,0,59,0
California,Marin,12/31/2020,215,200,13,2,0,0,0,114,45,32,2,5,131,0,77,0
California,Mariposa,12/31/2020,244,153,79,9,3,0,0,187,84,46,0,0,220,0,19,5
California,Mendocino,12/31/2020,91,74,17,0,0,0,0,66,56,35,0,0,32,0,59,0
California,Merced,12/31/2020,274,147,102,13,12,0,0,183,99,49,0,0,173,0,101,0
California,Mono,12/31/2020,182,138,35,3,1,0,5,1928,64,26,0,0,0,0,151,31
California,Monterey,12/31/2020,183,172,11,0,0,0,0,83,45,35,1,0,151,0,30,1
California,Napa,12/31/2020,215,192,18,5,0,0,0,140,52,34,2,0,146,0,67,0
California,Nevada,12/31/2020,305,214,59,15,13,4,0,252,108,42,0,0,203,0,102,0
California,Orange,12/31/2020,183,120,55,5,3,0,0,156,79,44,1,6,131,0,45,0
California,Placer,12/31/2020,244,143,85,8,7,1,0,222,87,48,0,0,173,0,71,0
California,Plumas,12/31/2020,299,173,80,13,20,10,3,340,163,44,0,0,0,0,299,0
California,Riverside,12/31/2020,305,69,170,51,12,1,2,576,126,71,0,0,174,0,69,62
California,Sacramento,12/31/2020,214,146,65,2,1,0,0,155,74,44,1,2,158,0,53,0
California,San Benito,12/31/2020,244,226,17,1,0,0,0,105,49,39,0,0,228,0,14,2
California,San Bernardino,12/31/2020,244,57,123,40,19,5,0,212,150,74,0,5,180,0,55,4
California,San Diego,12/31/2020,214,67,138,7,2,0,0,154,84,60,1,2,92,0,118,1
California,San Francisco,12/31/2020,215,173,41,1,0,0,0,111,55,35,2,8,98,0,107,0
California,San Joaquin,12/31/2020,274,185,73,4,12,0,0,195,83,44,0,0,151,0,107,16
California,San Luis Obispo,12/31/2020,182,132,50,0,0,0,0,93,64,43,0,0,131,0,40,11
California,San Mateo,12/31/2020,215,194,19,2,0,0,0,141,49,32,2,6,124,0,83,0
California,Santa Barbara,12/31/2020,245,218,27,0,0,0,0,93,52,39,1,0,208,0,36,0
California,Santa Clara,12/31/2020,215,172,37,4,2,0,0,163,64,39,2,7,127,0,79,0
California,Santa Cruz,12/31/2020,182,181,1,0,0,0,0,54,40,33,0,0,139,0,43,0
California,Shasta,12/31/2020,241,220,20,1,0,0,0,115,50,40,0,0,236,0,5,0
California,Siskiyou,12/31/2020,182,175,7,0,0,0,0,55,44,34,0,0,150,0,32,0
California,Solano,12/31/2020,274,233,34,7,0,0,0,142,58,38,0,0,206,0,68,0
California,Sonoma,12/31/2020,245,233,12,0,0,0,0,97,43,32,1,0,173,0,70,1
California,Stanislaus,12/31/2020,274,139,108,14,13,0,0,184,97,50,0,1,184,0,88,1
California,Sutter,12/31/2020,213,162,50,0,1,0,0,159,61,43,0,0,149,0,63,1
California,Tehama,12/31/2020,213,170,43,0,0,0,0,93,61,41,0,0,181,0,32,0
California,Trinity,12/31/2020,240,190,31,8,11,0,0,193,79,18,0,0,0,0,240,0
California,Tulare,12/31/2020,244,71,100,62,9,2,0,209,136,66,0,0,163,0,81,0
California,Tuolumne,12/31/2020,203,172,31,0,0,0,0,90,54,41,0,0,203,0,0,0
California,Ventura,12/31/2020,274,178,80,13,3,0,0,153,87,46,0,0,248,0,26,0
California,Yolo,12/31/2020,266,225,39,2,0,0,0,115,58,40,0,0,226,0,40,0
Colorado,Adams,12/31/2020,285,159,115,10,1,0,0,151,74,48,0,32,154,0,45,54
Colorado,Alamosa,12/31/2020,20,20,0,0,0,0,0,33,11,5,0,0,0,0,20,0
Colorado,Arapahoe,12/31/2020,256,161,84,9,2,0,0,159,80,48,0,0,243,0,13,0
Colorado,Archuleta,12/31/2020,260,258,2,0,0,0,0,55,28,18,0,0,0,0,0,260
Colorado,Boulder,12/31/2020,277,162,99,15,1,0,0,161,84,48,0,0,208,0,68,1
Colorado,Clear Creek,12/31/2020,86,54,28,4,0,0,0,143,80,47,0,0,86,0,0,0
Colorado,Delta,12/31/2020,182,168,14,0,0,0,0,71,49,42,0,0,166,0,16,0
Colorado,Denver,12/31/2020,285,148,122,15,0,0,0,150,85,50,0,58,130,0,95,2
Colorado,Douglas,12/31/2020,276,172,88,13,3,0,0,159,87,47,0,0,224,0,52,0
Colorado,El Paso,12/31/2020,275,183,85,6,1,0,0,151,74,46,0,0,238,0,36,1
Colorado,Fremont,12/31/2020,12,12,0,0,0,0,0,27,20,12,0,0,0,0,0,12
Colorado,Garfield,12/31/2020,182,124,58,0,0,0,0,97,74,48,0,0,182,0,0,0
Colorado,Gilpin,12/31/2020,241,176,57,8,0,0,0,136,71,47,0,0,241,0,0,0
Colorado,Gunnison,12/31/2020,234,186,46,2,0,0,0,108,58,45,0,0,234,0,0,0
Colorado,Jackson,12/31/2020,15,15,0,0,0,0,0,5,5,2,0,0,0,0,15,0
Colorado,Jefferson,12/31/2020,244,137,83,20,4,0,0,161,97,49,0,0,244,0,0,0
Colorado,La Plata,12/31/2020,238,194,44,0,0,0,0,90,58,44,0,2,233,0,3,0
Colorado,Larimer,12/31/2020,270,155,104,11,0,0,0,146,87,49,0,0,236,0,34,0
Colorado,Mesa,12/31/2020,277,243,34,0,0,0,0,99,54,42,0,0,156,0,100,21
Colorado,Montezuma,12/31/2020,244,195,47,2,0,0,0,126,61,45,0,0,244,0,0,0
Colorado,Pitkin,12/31/2020,71,71,0,0,0,0,0,48,23,11,0,0,0,0,5,66
Colorado,Prowers,12/31/2020,255,242,11,0,2,0,0,177,37,17,0,0,0,0,0,255
Colorado,Pueblo,12/31/2020,68,65,3,0,0,0,0,63,43,18,0,0,0,0,42,26
Colorado,Rio Blanco,12/31/2020,244,203,39,2,0,0,0,115,54,44,0,0,218,0,26,0
Colorado,Routt,12/31/2020,257,253,4,0,0,0,0,68,30,13,0,0,0,0,0,257
Colorado,San Juan,12/31/2020,19,19,0,0,0,0,0,9,7,3,0,0,0,0,19,0
Colorado,San Miguel,12/31/2020,87,84,3,0,0,0,0,54,30,12,0,0,0,0,0,87
Colorado,Weld,12/31/2020,276,165,101,10,0,0,0,140,84,48,0,0,201,0,75,0
Connecticut,Fairfield,12/31/2020,182,137,43,2,0,0,0,143,63,44,0,9,112,0,61,0
Connecticut,Hartford,12/31/2020,183,157,26,0,0,0,0,93,54,39,2,13,121,0,47,0
Connecticut,Litchfield,12/31/2020,183,168,15,0,0,0,0,84,48,39,1,0,170,0,12,0
Connecticut,Middlesex,12/31/2020,122,112,10,0,0,0,0,97,49,40,0,0,122,0,0,0
Connecticut,New Haven,12/31/2020,183,142,40,1,0,0,0,101,61,42,2,3,129,0,48,1
Connecticut,New London,12/31/2020,181,164,17,0,0,0,0,87,50,39,0,0,108,0,73,0
Connecticut,Tolland,12/31/2020,117,111,6,0,0,0,0,93,47,40,0,0,117,0,0,0
Connecticut,Windham,12/31/2020,234,224,10,0,0,0,0,87,45,37,0,0,234,0,0,0
Country Of Mexico,SONORA,12/31/2020,146,125,20,1,0,0,0,101,64,41,0,0,146,0,0,0
Delaware,Kent,12/31/2020,182,166,16,0,0,0,0,80,48,39,0,0,147,0,35,0
Delaware,New Castle,12/31/2020,183,159,24,0,0,0,0,77,54,41,1,6,123,0,53,0
Delaware,Sussex,12/31/2020,182,171,11,0,0,0,0,74,47,39,0,0,149,0,33,0
District Of Columbia,District of Columbia,12/31/2020,274,248,25,0,1,0,0,166,50,38,0,29,119,0,126,0
Florida,Alachua,12/31/2020,182,156,25,1,0,0,0,105,53,39,0,0,122,0,60,0
Florida,Baker,12/31/2020,179,162,15,2,0,0,0,140,50,39,0,0,135,0,44,0
Florida,Bay,12/31/2020,179,152,25,2,0,0,0,146,54,40,0,0,121,0,58,0
Florida,Brevard,12/31/2020,182,157,25,0,0,0,0,80,54,41,0,0,133,0,49,0
Florida,Broward,12/31/2020,183,131,52,0,0,0,0,93,59,43,1,1,93,0,88,0
