data_state,county,poverty_estimate,poverty_percentage
AL,Autauga,"7,587",13.8
AL,Baldwin,"21,069",9.8
AL,Barbour,"6,788",30.9
AL,Bibb,"4,400",21.8
AL,Blount,"7,527",13.2
AL,Bullock,"3,610",42.5
AL,Butler,"4,731",24.5
AL,Calhoun,"21,719",19.5
AL,Chambers,"6,181",18.7
AL,Cherokee,"4,180",16.3
AL,Chilton,"7,542",17.3
AL,Choctaw,"2,806",22.1
AL,Clarke,"5,381",22.8
AL,Clay,"2,285",17.6
AL,Cleburne,"2,356",16.0
AL,Coffee,"7,053",13.8
AL,Colbert,"7,459",13.8
AL,Conecuh,"2,979",24.4
AL,Coosa,"1,973",18.9
AL,Covington,"7,239",19.9
AL,Crenshaw,"2,661",19.5
AL,Cullman,"11,925",14.5
AL,Dale,"7,743",16.2
AL,Dallas,"11,841",31.4
AL,DeKalb,"14,975",21.3
AL,Elmore,"8,559",11.2
AL,Escambia,"8,022",23.6
AL,Etowah,"17,509",17.5
AL,Fayette,"3,801",23.5
AL,Franklin,"5,939",19.2
AL,Geneva,"5,537",21.3
AL,Greene,"2,459",30.1
AL,Hale,"3,705",25.6
AL,Henry,"3,037",17.9
AL,Houston,"17,032",16.5
AL,Jackson,"10,046",19.7
AL,Jefferson,"103,604",16.1
AL,Lamar,"2,374",17.4
AL,Lauderdale,"12,645",14.0
AL,Lawrence,"6,297",19.3
AL,Lee,"30,075",19.0
AL,Limestone,"10,633",11.4
AL,Lowndes,"2,474",25.1
AL,Macon,"5,031",30.2
AL,Madison,"42,667",11.9
AL,Marengo,"4,499",24.0
AL,Marion,"5,844",20.2
AL,Marshall,"17,341",18.3
AL,Mobile,"84,539",20.8
AL,Monroe,"4,560",21.9
AL,Montgomery,"43,567",20.1
AL,Morgan,"15,419",13.2
AL,Perry,"2,943",35.3
AL,Pickens,"4,177",23.1
AL,Pike,"7,315",23.6
AL,Randolph,"4,375",19.7
AL,Russell,"12,384",21.7
AL,St. Clair,"10,432",12.0
AL,Shelby,"16,916",8.0
AL,Sumter,"4,076",34.7
AL,Talladega,"14,825",19.3
AL,Tallapoosa,"7,839",19.7
AL,Tuscaloosa,"33,330",16.8
AL,Walker,"11,231",17.9
AL,Washington,"2,846",17.6
AL,Wilcox,"3,504",33.4
AL,Winston,"4,338",18.6
AK,Aleutians East Borough,544,15.5
AK,Aleutians West Census Area,550,10.0
AK,Anchorage Borough,"27,075",9.5
AK,Bethel Census Area,"5,869",32.7
AK,Bristol Bay Borough,96,11.2
AK,Denali Borough,135,6.9
AK,Dillingham Census Area,"1,091",22.0
AK,Fairbanks North Star Borough,"8,104",8.6
AK,Haines Borough,259,10.5
AK,Hoonah-Angoon Census Area,370,17.2
AK,Juneau Borough,"2,299",7.3
AK,Kenai Peninsula Borough,"7,103",12.4
AK,Ketchikan Gateway Borough,"1,244",9.1
AK,Kodiak Island Borough,"1,073",8.2
AK,Kusilvak Census Area,"2,905",35.1
AK,Lake and Peninsula Borough,288,18.2
AK,Matanuska-Susitna Borough,"10,937",10.4
AK,Nome Census Area,"2,168",22.0
AK,North Slope Borough,"1,094",11.1
AK,Northwest Arctic Borough,"1,604",21.1
AK,Petersburg Borough,232,7.2
AK,Prince of Wales-Hyder Census Area,"1,057",16.5
AK,Sitka Borough,656,7.7
AK,Skagway Municipality,49,4.3
AK,Southeast Fairbanks Census Area,918,13.4
AK,Valdez-Cordova Census Area,880,9.7
AK,Wrangell City and Borough,287,11.6
AK,Yakutat Borough,79,13.1
AK,Yukon-Koyukuk Census Area,"1,259",23.7
AZ,Apache,"26,435",37.3
AZ,Cochise,"18,273",15.1
AZ,Coconino,"20,964",15.9
AZ,Gila,"10,804",20.4
AZ,Graham,"7,118",20.2
AZ,Greenlee,985,10.5
AZ,La Paz,"4,921",23.7
AZ,Maricopa,"535,183",12.3
AZ,Mohave,"34,411",16.8
AZ,Navajo,"30,876",28.5
AZ,Pima,"164,927",16.2
AZ,Pinal,"54,399",12.9
AZ,Santa Cruz,"11,287",24.4
AZ,Yavapai,"30,060",13.2
AZ,Yuma,"39,648",19.5
AR,Arkansas,"3,120",17.9
AR,Ashley,"3,876",19.6
AR,Baxter,"6,216",15.1
AR,Benton,"23,290",8.6
AR,Boone,"5,472",14.8
AR,Bradley,"2,329",21.7
AR,Calhoun,800,15.7
AR,Carroll,"4,499",16.1
AR,Chicot,"3,039",31.4
AR,Clark,"3,838",19.9
AR,Clay,"3,035",20.7
AR,Cleburne,"3,573",14.6
AR,Cleveland,"1,232",15.5
AR,Columbia,"4,799",22.4
AR,Conway,"3,693",17.9
AR,Craighead,"18,768",17.9
AR,Crawford,"10,027",16.0
AR,Crittenden,"9,056",19.2
AR,Cross,"2,940",18.0
AR,Dallas,"1,442",21.3
AR,Desha,"2,780",24.3
AR,Drew,"3,391",19.5
AR,Faulkner,"18,571",15.4
AR,Franklin,"3,202",18.3
AR,Fulton,"2,481",20.6
AR,Garland,"19,844",20.4
AR,Grant,"2,353",13.1
AR,Greene,"7,361",16.5
AR,Hempstead,"4,424",20.6
AR,Hot Spring,"5,844",18.7
AR,Howard,"2,271",17.3
AR,Independence,"5,302",14.5
AR,Izard,"2,358",18.7
AR,Jackson,"3,732",25.6
AR,Jefferson,"13,900",22.2
AR,Johnson,"5,761",22.2
AR,Lafayette,"1,498",22.8
AR,Lawrence,"2,776",17.7
AR,Lee,"3,098",43.0
AR,Lincoln,"2,647",27.5
AR,Little River,"1,942",16.0
AR,Logan,"3,950",18.6
AR,Lonoke,"8,651",11.9
AR,Madison,"3,002",18.4
AR,Marion,"3,082",18.7
AR,Miller,"9,228",21.9
AR,Mississippi,"10,325",25.7
AR,Monroe,"1,769",26.0
AR,Montgomery,"1,649",18.8
AR,Nevada,"1,738",21.3
AR,Newton,"1,340",17.4
AR,Ouachita,"5,410",23.3
AR,Perry,"1,502",14.7
AR,Phillips,"6,301",35.4
AR,Pike,"1,856",17.8
AR,Poinsett,"5,592",23.7
