us_state,county,year_end,days_with_aqi,good_days,moderate_days,unhealthy_sensitive_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,ninetieth_percentile_aqi,median_aqi,days_co,days_no2,days_ozone,days_so2,days_pm2,days_pm10
AL,Baldwin,12/31/2018,270,245,25,0,0,0,0,97,50,35,0,0,214,0,56,0
AL,Clay,12/31/2018,110,103,7,0,0,0,0,64,45,27,0,0,0,0,110,0
AL,Colbert,12/31/2018,277,251,26,0,0,0,0,93,50,35,0,0,209,0,68,0
AL,DeKalb,12/31/2018,350,316,34,0,0,0,0,84,50,35,0,0,317,0,33,0
AL,Elmore,12/31/2018,222,203,19,0,0,0,0,71,49,33,0,0,222,0,0,0
AL,Etowah,12/31/2018,324,231,92,0,1,0,0,153,61,41,0,0,179,0,145,0
AL,Houston,12/31/2018,277,249,28,0,0,0,0,80,51,35,0,0,211,0,66,0
AL,Jefferson,12/31/2018,365,176,184,4,1,0,0,156,74,51,0,1,100,32,228,4
AL,Lawrence,12/31/2018,118,112,6,0,0,0,0,61,45,23,0,0,0,0,118,0
AL,Madison,12/31/2018,365,275,89,1,0,0,0,115,58,41,0,0,130,0,234,1
AL,Mobile,12/31/2018,365,290,74,1,0,0,0,105,57,38,0,0,150,13,202,0
AL,Montgomery,12/31/2018,324,149,175,0,0,0,0,93,66,52,0,0,43,0,281,0
AL,Morgan,12/31/2018,364,304,60,0,0,0,0,100,54,37,0,0,176,0,188,0
AL,Russell,12/31/2018,364,277,87,0,0,0,0,99,61,39,0,0,115,0,249,0
AL,Shelby,12/31/2018,363,328,31,4,0,0,0,124,50,31,0,0,232,131,0,0
AL,Sumter,12/31/2018,365,344,21,0,0,0,0,77,47,29,0,0,222,13,130,0
AL,Tuscaloosa,12/31/2018,320,265,54,1,0,0,0,115,56,37,0,0,195,0,125,0
AK,Aleutians East ,12/31/2018,120,120,0,0,0,0,0,34,21,10,0,0,0,0,120,0
AK,Anchorage ,12/31/2018,365,308,57,0,0,0,0,87,57,24,2,0,0,0,259,104
AK,Bethel ,12/31/2018,202,196,6,0,0,0,0,77,33,15,0,0,0,0,142,60
AK,Denali ,12/31/2018,364,361,3,0,0,0,0,58,44,35,0,0,363,0,1,0
AK,Fairbanks North Star ,12/31/2018,365,248,78,29,10,0,0,156,103,34,0,28,113,2,217,5
AK,Juneau ,12/31/2018,352,306,46,0,0,0,0,83,54,23,0,0,0,0,348,4
AK,Kenai Peninsula ,12/31/2018,120,120,0,0,0,0,0,27,15,8,0,0,0,0,120,0
AK,Matanuska-Susitna ,12/31/2018,365,325,36,3,1,0,0,151,53,27,0,0,221,0,122,22
AZ,Apache,12/31/2018,358,354,4,0,0,0,0,55,26,12,0,0,0,0,32,326
AZ,Cochise,12/31/2018,365,276,89,0,0,0,0,90,63,44,0,0,313,0,18,34
AZ,Coconino,12/31/2018,365,240,122,3,0,0,0,126,77,45,0,0,358,0,7,0
AZ,Gila,12/31/2018,365,107,170,80,8,0,0,184,117,71,0,0,161,188,0,16
AZ,La Paz,12/31/2018,364,263,98,3,0,0,0,105,70,44,0,0,351,0,7,6
AZ,Maricopa,12/31/2018,365,54,247,57,4,3,0,249,115,71,0,15,184,0,61,105
AZ,Mohave,12/31/2018,363,350,12,1,0,0,0,105,33,18,0,0,0,0,33,330
AZ,Navajo,12/31/2018,363,261,100,2,0,0,0,115,74,44,0,0,353,0,2,8
AZ,Pima,12/31/2018,365,196,158,11,0,0,0,129,84,49,0,0,255,0,31,79
AZ,Pinal,12/31/2018,365,85,229,34,6,3,8,996,108,67,0,0,131,0,23,211
AZ,Santa Cruz,12/31/2018,365,294,69,1,1,0,0,183,59,31,0,0,0,0,220,145
AZ,Yavapai,12/31/2018,365,292,72,1,0,0,0,101,61,43,0,0,363,0,2,0
AZ,Yuma,12/31/2018,365,239,110,15,1,0,0,169,80,45,0,0,235,0,33,97
AR,Arkansas,12/31/2018,118,98,20,0,0,0,0,90,54,33,0,0,0,0,118,0
AR,Ashley,12/31/2018,121,106,14,1,0,0,0,103,52,29,0,0,0,0,121,0
AR,Clark,12/31/2018,361,342,19,0,0,0,0,87,46,31,0,0,361,0,0,0
AR,Craighead,12/31/2018,90,71,19,0,0,0,0,72,56,35,0,0,0,0,90,0
AR,Crittenden,12/31/2018,365,288,74,3,0,0,0,115,60,40,0,7,187,0,171,0
AR,Garland,12/31/2018,121,99,22,0,0,0,0,86,54,31,0,0,0,0,121,0
AR,Jackson,12/31/2018,122,107,15,0,0,0,0,71,53,31,0,0,0,0,122,0
AR,Newton,12/31/2018,364,336,28,0,0,0,0,84,48,35,0,0,352,0,12,0
AR,Polk,12/31/2018,363,319,44,0,0,0,0,93,54,38,0,0,311,0,52,0
AR,Pulaski,12/31/2018,365,257,106,2,0,0,0,122,64,43,0,1,146,0,218,0
AR,Union,12/31/2018,365,276,86,3,0,0,0,122,59,37,0,0,0,0,365,0
AR,Washington,12/31/2018,365,266,99,0,0,0,0,87,64,42,0,0,216,0,149,0
CA,Alameda,12/31/2018,365,175,173,5,10,2,0,223,76,51,0,10,72,0,283,0
CA,Amador,12/31/2018,364,288,70,6,0,0,0,129,71,40,0,0,364,0,0,0
CA,Butte,12/31/2018,365,152,173,22,11,3,4,445,104,54,0,0,203,0,161,1
CA,Calaveras,12/31/2018,364,148,196,14,6,0,0,157,87,53,0,0,141,0,223,0
CA,Colusa,12/31/2018,365,245,92,10,17,1,0,274,81,42,0,0,176,0,155,34
CA,Contra Costa,12/31/2018,365,203,144,7,9,2,0,245,71,48,0,1,107,1,256,0
CA,Del Norte,12/31/2018,180,162,18,0,0,0,0,77,52,25,0,0,0,0,180,0
CA,El Dorado,12/31/2018,365,222,106,27,9,1,0,203,101,45,0,0,353,0,3,9
CA,Fresno,12/31/2018,365,84,183,79,19,0,0,185,133,74,0,3,231,0,121,10
CA,Glenn,12/31/2018,363,275,72,9,6,1,0,230,69,36,0,0,154,0,136,73
CA,Humboldt,12/31/2018,365,324,35,5,1,0,0,163,53,34,0,2,251,0,94,18
CA,Imperial,12/31/2018,365,95,220,41,7,2,0,286,108,62,0,7,129,0,100,129
CA,Inyo,12/31/2018,365,198,130,26,8,2,1,624,101,48,0,0,311,0,20,34
CA,Kern,12/31/2018,365,65,170,103,27,0,0,190,142,84,0,0,246,0,106,13
CA,Kings,12/31/2018,365,89,218,49,9,0,0,180,114,69,0,0,186,0,123,56
CA,Lake,12/31/2018,357,347,7,1,1,1,0,208,43,33,0,0,344,0,11,2
CA,Los Angeles,12/31/2018,365,35,222,89,18,1,0,201,130,76,0,32,175,0,157,1
