us_state,county,poverty_estimate,poverty_percentage
US,United States,"39,490,096",12.3
AL,Alabama,"747,478",15.6
AL,Autauga,"6,723",12.1
AL,Baldwin,"22,360",10.1
AL,Barbour,"5,909",27.1
AL,Bibb,"4,101",20.3
AL,Blount,"9,324",16.3
AL,Bullock,"2,537",30.0
AL,Butler,"4,124",21.6
AL,Calhoun,"18,988",17.2
AL,Chambers,"6,415",19.6
AL,Cherokee,"4,121",15.9
AL,Chilton,"7,044",16.0
AL,Choctaw,"2,811",22.6
AL,Clarke,"4,281",18.4
AL,Clay,"2,156",16.6
AL,Cleburne,"1,945",13.3
AL,Coffee,"7,734",15.0
AL,Colbert,"7,998",14.6
AL,Conecuh,"2,662",22.2
AL,Coosa,"1,789",17.1
AL,Covington,"6,269",17.2
AL,Crenshaw,"2,289",16.8
AL,Cullman,"10,088",12.2
AL,Dale,"8,727",18.1
AL,Dallas,"9,533",26.0
AL,DeKalb,"12,848",18.2
AL,Elmore,"8,753",11.4
AL,Escambia,"6,980",20.5
AL,Etowah,"18,801",18.8
AL,Fayette,"2,721",17.0
AL,Franklin,"4,989",16.1
AL,Geneva,"4,180",16.1
AL,Greene,"2,553",31.7
AL,Hale,"2,956",20.5
AL,Henry,"2,919",17.2
AL,Houston,"20,207",19.4
AL,Jackson,"7,481",14.7
AL,Jefferson,"104,288",16.2
AL,Lamar,"2,070",15.3
AL,Lauderdale,"14,193",15.7
AL,Lawrence,"5,773",17.7
AL,Lee,"24,731",15.5
AL,Limestone,"11,535",12.0
AL,Lowndes,"2,555",26.6
AL,Macon,"4,817",29.3
AL,Madison,"41,789",11.5
AL,Marengo,"4,601",24.8
AL,Marion,"4,883",16.9
AL,Marshall,"14,989",15.7
AL,Mobile,"71,784",17.7
AL,Monroe,"4,770",23.3
AL,Montgomery,"34,268",15.8
AL,Morgan,"16,146",13.7
AL,Perry,"2,778",33.9
AL,Pickens,"4,380",24.3
AL,Pike,"6,742",21.8
AL,Randolph,"3,906",17.5
AL,Russell,"10,823",18.9
AL,St. Clair,"9,780",11.2
AL,Shelby,"13,428",6.2
AL,Sumter,"4,195",36.4
AL,Talladega,"13,326",17.4
AL,Tallapoosa,"6,341",16.0
AL,Tuscaloosa,"32,226",16.2
AL,Walker,"10,837",17.3
AL,Washington,"2,998",18.6
AL,Wilcox,"3,329",32.5
AL,Winston,"3,882",16.7
AK,Alaska,"73,033",10.2
AK,Aleutians East Borough,492,14.8
AK,Aleutians West Census Area,414,7.6
AK,Anchorage Borough,"26,636",9.5
AK,Bethel Census Area,"4,249",23.5
AK,Bristol Bay Borough,80,9.8
AK,Denali Borough,132,6.6
AK,Dillingham Census Area,883,18.1
AK,Fairbanks North Star Borough,"6,656",7.2
AK,Haines Borough,247,9.8
AK,Hoonah-Angoon Census Area,336,15.7
AK,Juneau Borough,"1,951",6.3
AK,Kenai Peninsula Borough,"5,966",10.4
AK,Ketchikan Gateway Borough,"1,283",9.4
AK,Kodiak Island Borough,909,7.1
AK,Kusilvak Census Area,"2,217",26.8
AK,Lake and Peninsula Borough,275,17.4
AK,Matanuska-Susitna Borough,"10,142",9.6
AK,Nome Census Area,"2,033",20.7
AK,North Slope Borough,"1,109",11.4
AK,Northwest Arctic Borough,"1,805",24.0
AK,Petersburg Borough,219,6.7
AK,Prince of Wales-Hyder Census Area,"1,085",17.6
AK,Sitka Borough,672,8.1
AK,Skagway Municipality,47,4.0
AK,Southeast Fairbanks Census Area,823,12.0
AK,Valdez-Cordova Census Area,781,8.6
AK,Wrangell City and Borough,240,9.7
AK,Yakutat Borough,85,14.7
AK,Yukon-Koyukuk Census Area,"1,266",24.4
AZ,Arizona,"963,007",13.5
AZ,Apache,"23,680",33.4
AZ,Cochise,"20,172",16.6
AZ,Coconino,"20,817",15.9
AZ,Gila,"11,219",21.1
AZ,Graham,"7,207",20.1
AZ,Greenlee,876,9.3
AZ,La Paz,"4,593",22.1
AZ,Maricopa,"539,670",12.2
AZ,Mohave,"33,183",16.0
AZ,Navajo,"27,440",25.2
AZ,Pima,"142,859",14.0
AZ,Pinal,"52,975",12.1
AZ,Santa Cruz,"8,688",18.8
AZ,Yavapai,"27,845",12.0
AZ,Yuma,"41,782",20.4
AR,Arkansas,"468,575",16.0
AR,Arkansas,"2,714",15.8
AR,Ashley,"3,603",18.5
AR,Baxter,"5,248",12.7
AR,Benton,"24,525",8.9
AR,Boone,"5,572",15.1
AR,Bradley,"2,426",22.9
AR,Calhoun,771,15.4
AR,Carroll,"4,118",14.7
AR,Chicot,"2,900",31.0
AR,Clark,"3,971",20.6
AR,Clay,"2,691",18.7
AR,Cleburne,"3,452",14.1
AR,Cleveland,"1,080",13.7
AR,Columbia,"4,509",21.2
AR,Conway,"3,215",15.6
AR,Craighead,"17,960",16.9
AR,Crawford,"11,436",18.3
AR,Crittenden,"10,520",22.4
AR,Cross,"2,874",17.8
AR,Dallas,"1,241",18.8
AR,Desha,"2,859",25.4
AR,Drew,"3,191",18.5
AR,Faulkner,"17,459",14.4
AR,Franklin,"2,830",16.2
AR,Fulton,"2,169",17.7
AR,Garland,"16,532",16.9
AR,Grant,"2,189",12.1
AR,Greene,"6,925",15.5
AR,Hempstead,"3,930",18.5
AR,Hot Spring,"6,322",20.2
AR,Howard,"2,176",16.8
AR,Independence,"5,852",15.9
AR,Izard,"2,003",15.9
AR,Jackson,"3,313",22.9
AR,Jefferson,"14,942",24.4
AR,Johnson,"4,521",17.5
AR,Lafayette,"1,655",25.5
AR,Lawrence,"2,887",18.4
AR,Lee,"2,515",35.4
AR,Lincoln,"2,567",27.1
AR,Little River,"2,157",17.8
AR,Logan,"3,640",17.4
AR,Lonoke,"7,760",10.7
AR,Madison,"2,699",16.4
AR,Marion,"2,687",16.3
AR,Miller,"5,909",14.1
AR,Mississippi,"9,128",23.0
AR,Monroe,"1,681",25.5
AR,Montgomery,"1,756",19.9
AR,Nevada,"1,951",24.1
AR,Newton,"1,386",18.1
AR,Ouachita,"3,969",17.3
AR,Perry,"1,710",16.5
AR,Phillips,"5,841",33.3
AR,Pike,"1,769",16.9
AR,Poinsett,"5,339",23.1
AR,Polk,"3,991",20.2
AR,Pope,"10,218",16.9
AR,Prairie,"1,190",15.0
AR,Pulaski,"56,020",14.6
AR,Randolph,"3,036",17.3
AR,St. Francis,"6,679",32.0
AR,Saline,"11,665",9.6
AR,Scott,"1,983",19.6
AR,Searcy,"1,740",22.4
AR,Sebastian,"19,923",15.9
AR,Sevier,"2,962",17.7
AR,Sharp,"4,007",23.3
AR,Stone,"2,378",19.3
AR,Union,"7,216",18.9
AR,Van Buren,"3,235",19.9
AR,Washington,"34,731",15.1
AR,White,"11,613",15.4
AR,Woodruff,"1,678",27.1
AR,Yell,"3,265",15.6
CA,California,"4,560,419",11.8
